model,S0,K,moneyness,log_moneyness,r,T,n,inv_n,inv_sqrt_n,alpha0,beta,nu,rho,sigma_eff,tw_price,mc_price,mc_std_error,residual,scaled_residual,terminal_mean,average_mean,alpha_terminal_mean,option_type,n_paths,seed
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.5,0.1,-0.8,0.020000000000000004,20.838470011562116,20.79756077258546,0.003866100280049862,0.040909238976656326,0.00040909238976656327,102.45354760129128,101.32405353015758,0.19999045043302238,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.5,0.1,-0.4,0.020000000000000004,20.838470011562116,20.818285348835964,0.0038587815572080414,0.020184662726151714,0.00020184662726151713,102.49530465348687,101.34530275155369,0.19999045043302238,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.5,0.1,0.0,0.020000000000000004,20.838470011562116,20.838912542462424,0.0038477734738352606,-0.0004425309003082134,-4.425309003082134e-06,102.53602633919449,101.36645212507288,0.19999045043302238,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.5,0.3,-0.8,0.020000000000000004,20.838470011562116,20.711414612197643,0.0039289774697197416,0.12705539936447252,0.0012705539936447253,102.28928158901799,101.23572656933683,0.20000310455534015,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.5,0.3,-0.4,0.020000000000000004,20.838470011562116,20.77494245001724,0.0038884300118169424,0.06352756154487693,0.0006352756154487693,102.41243568108071,101.3008626220275,0.20000310455534015,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.5,0.3,0.0,0.020000000000000004,20.838470011562116,20.838527409446858,0.0038673698070622983,-5.739788474201646e-05,-5.739788474201646e-07,102.53497058581937,101.36605724236861,0.20000310455534015,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.5,0.6,-0.8,0.020000000000000004,20.838470011562116,20.58257183513824,0.0041595794653513166,0.2558981764238766,0.0025589817642387657,102.0437834981062,101.1036221218475,0.20009954706894642,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.5,0.6,-0.4,0.020000000000000004,20.838470011562116,20.71006465152823,0.004002558501407803,0.12840536003388436,0.0012840536003388436,102.28851878771628,101.23434243425038,0.20009954706894642,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.5,0.6,0.0,0.020000000000000004,20.838470011562116,20.83797684869039,0.003943025589497879,0.0004931628717272929,4.931628717272929e-06,102.53357152916513,101.36549274410024,0.20009954706894642,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.7,0.1,-0.8,0.050237728630191596,20.838470011562116,20.735857482426205,0.009710871582259712,0.10261252913591079,0.001026125291359108,102.33597628137784,101.2607882137712,0.19999045043302238,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.7,0.1,-0.4,0.050237728630191596,20.838470011562116,20.787877338541566,0.009698794225727763,0.05059267302054948,0.0005059267302054949,102.44079658937572,101.31412495881379,0.19999045043302238,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.7,0.1,0.0,0.050237728630191596,20.838470011562116,20.839659704897574,0.009676299124194423,-0.001189693335458486,-1.189693335458486e-05,102.5430530012815,101.36721820201512,0.19999045043302238,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.7,0.3,-0.8,0.050237728630191596,20.838470011562116,20.519834920476264,0.009841557684520016,0.3186350910858522,0.003186350910858522,101.92425528625719,101.03929701462951,0.20000310455534015,call,50000,42
